data,noise,anomaly count,wave len,precision,recall,anomaly_normal_ratio,noise direction,m
77,0.1,5,15,0.1574074074074074,0.2833333333333333,0.00013,p,2.0
77,0.1,10,15,0.1875,0.17647058823529413,0.00024,p,1.0
77,0.1,10,15,0.15300546448087432,0.2196078431372549,0.00024,p,1.5
77,0.1,10,15,0.1396761133603239,0.27058823529411763,0.00024,p,2.0
77,0.5,1,60,0.4322033898305085,0.3090909090909091,2.5e-05,p,1.0
77,0.5,1,60,0.45754716981132076,0.5878787878787879,2.5e-05,p,1.5
77,0.5,1,60,0.3501683501683502,0.6303030303030303,2.5e-05,p,2.0
77,0.5,5,60,0.33164556962025316,0.3234567901234568,0.00013,p,1.0
77,0.5,5,60,0.297008547008547,0.3432098765432099,0.00013,p,1.5
77,0.5,5,60,0.46573604060913704,0.9061728395061729,0.00013,p,2.0
77,0.5,10,60,0.3096590909090909,0.30921985815602837,0.00024,p,1.0
77,0.5,10,60,0.2547065337763012,0.3262411347517731,0.00024,p,1.5
77,0.5,10,60,0.48863636363636365,0.975886524822695,0.00024,p,2.0
77,0.25,1,60,0.267515923566879,0.2545454545454545,2.5e-05,p,1.0
77,0.25,1,60,0.2024793388429752,0.296969696969697,2.5e-05,p,1.5
77,0.25,1,60,0.1687116564417178,0.3333333333333333,2.5e-05,p,2.0
77,0.25,5,60,0.1791044776119403,0.17777777777777778,0.00013,p,1.0
77,0.25,5,60,0.22537562604340566,0.3333333333333333,0.00013,p,1.5
77,0.25,5,60,0.195,0.3851851851851852,0.00013,p,2.0
77,0.25,10,60,0.27393225331369664,0.26382978723404255,0.00024,p,1.0
77,0.25,10,60,0.22512562814070353,0.3177304964539007,0.00024,p,1.5
77,0.25,10,60,0.19020408163265307,0.3304964539007092,0.00024,p,2.0
77,0.1,1,60,0.26282051282051283,0.24848484848484848,2.5e-05,p,1.0
77,0.1,1,60,0.1991701244813278,0.2909090909090909,2.5e-05,p,1.5
77,0.1,1,60,0.16615384615384615,0.32727272727272727,2.5e-05,p,2.0
77,0.1,5,60,0.1625,0.16049382716049382,0.00013,p,1.0
77,0.1,5,60,0.14616755793226383,0.20246913580246914,0.00013,p,1.5
77,0.1,5,60,0.125,0.24938271604938272,0.00013,p,2.0
77,0.1,10,60,0.14969135802469136,0.1375886524822695,0.00024,p,1.0
77,0.1,10,60,0.1268041237113402,0.17446808510638298,0.00024,p,1.5
77,0.1,10,60,0.10021786492374728,0.19574468085106383,0.00024,p,2.0
